City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,1.45,60,0,3.09,US,1734283529
1,puerto natales,-51.7236,-72.4875,19.25,45,75,10.29,CL,1734283531
2,broken hill,-31.95,141.4333,30.78,17,8,5.17,AU,1734283532
3,bonthe,7.5264,-12.505,30.16,61,5,5.71,SL,1734283535
4,wailua homesteads,22.0669,-159.378,22.44,94,75,4.63,US,1734283536
5,college,64.8569,-147.8028,-31.01,54,20,0.0,US,1734283538
6,acarau,-2.8856,-40.12,30.56,58,15,7.28,BR,1734283539
7,weno,7.4515,151.8468,26.97,89,75,4.63,FM,1734283540
8,grytviken,-54.2811,-36.5092,6.07,71,41,0.43,GS,1734283542
9,avarua,-21.2078,-159.775,26.03,89,75,5.14,CK,1734283543
10,adamstown,-25.066,-130.1015,22.44,69,81,5.24,PN,1734283544
11,blackmans bay,-43.0167,147.3167,15.07,82,0,4.39,AU,1734283546
12,whitehorse,60.7161,-135.0538,-14.57,85,75,2.57,CA,1734283547
13,timbuktu,16.7735,-3.0074,29.65,5,1,5.09,ML,1734283548
14,carnarvon,-24.8667,113.6333,23.55,63,0,11.12,AU,1734283549
15,ceeldheer,3.8488,47.1806,25.7,76,51,9.55,SO,1734283551
16,punta arenas,-53.15,-70.9167,15.06,38,0,16.46,CL,1734283552
17,longyearbyen,78.2186,15.6401,-6.09,73,20,8.23,SJ,1734283553
18,edinburgh of the seven seas,-37.0676,-12.3116,14.03,65,69,7.5,SH,1734283515
19,waitangi,-43.9535,-176.5597,16.57,96,100,0.45,NZ,1734283556
20,zhosaly,45.4878,64.0781,-4.63,85,82,2.36,KZ,1734283557
21,garbahaarrey,3.3289,42.2209,31.61,27,56,3.57,SO,1734283559
22,kapa'a,22.0752,-159.319,23.18,94,75,4.63,US,1734283560
23,yellowknife,62.456,-114.3525,-27.71,76,75,3.6,CA,1734283416
24,chadan,51.2833,91.5833,-25.51,98,15,1.07,RU,1734283564
25,santa vitoria do palmar,-33.5189,-53.3681,18.38,89,100,6.56,BR,1734283566
26,papatowai,-46.5619,169.4708,10.57,93,100,4.03,NZ,1734283567
27,constantia,44.1833,28.65,4.38,81,31,4.36,RO,1734283568
28,codrington,-38.2667,141.9667,27.51,33,63,6.13,AU,1734283570
29,yuktae-dong,40.0247,128.1597,-2.3,40,0,4.27,KP,1734283571
30,port-aux-francais,-49.35,70.2167,4.72,78,75,13.58,TF,1734283572
31,port alfred,-33.5906,26.891,21.21,86,43,1.34,ZA,1734283573
32,bengkulu,-3.8004,102.2655,24.38,91,100,2.79,ID,1734283575
33,darwin,-12.4611,130.8418,29.99,84,20,4.63,AU,1734283538
34,hithadhoo,-0.6,73.0833,27.78,81,55,6.16,MV,1734283579
35,dunedin,-45.8742,170.5036,12.11,97,63,1.34,NZ,1734283580
36,iqaluit,63.7506,-68.5145,-15.15,77,75,7.2,CA,1734283581
37,chiras,35.4167,65.9823,-9.45,91,100,0.9,AF,1734283582
38,dikwa,12.024,13.9165,25.04,25,20,4.93,NG,1734283584
39,hasaki,35.7333,140.8333,9.37,50,0,3.87,JP,1734283585
40,vadso,70.0744,29.7487,-11.91,85,75,4.63,NO,1734283586
41,tiksi,71.6872,128.8694,-20.85,93,99,5.68,RU,1734283588
42,albany,42.6001,-73.9662,-2.63,69,99,0.89,US,1734283398
43,tenkodogo,11.78,-0.3697,30.81,9,0,3.78,BF,1734283590
44,mazagao,-0.115,-51.2894,31.67,53,100,3.54,BR,1734283591
45,isafjordur,66.0755,-23.124,-1.98,69,100,5.14,IS,1734283593
46,mudgee,-32.5943,149.5871,18.68,92,0,1.92,AU,1734283594
47,puerto ayora,-0.7393,-90.3518,23.92,81,82,4.31,EC,1734283597
48,laguna,38.421,-121.4238,7.23,96,100,3.09,US,1734283598
49,mucurici,-18.0933,-40.5158,32.64,47,81,3.21,BR,1734283600
50,shingu,33.7333,135.9833,5.48,78,5,3.08,JP,1734283601
51,olonkinbyen,70.9221,-8.7187,-2.01,98,100,13.29,SJ,1734283602
52,qaqortoq,60.7167,-46.0333,-10.01,90,79,1.99,GL,1734283603
53,ilulissat,69.2167,-51.1,-4.99,80,75,5.66,GL,1734283605
54,talakan,50.3167,130.3667,-31.51,100,98,0.84,RU,1734283606
55,ushuaia,-54.8,-68.3,12.81,47,75,14.4,AR,1734283458
56,santiago de cao,-7.9589,-79.2392,17.07,88,40,4.63,PE,1734283609
57,abu zabad,12.35,29.25,24.19,28,7,4.58,SD,1734283610
58,okakarara,-20.5833,17.4333,24.35,53,99,4.62,NA,1734283611
59,georgetown,5.4112,100.3354,26.97,83,20,3.13,MY,1734283612
60,kununurra,-15.7667,128.7333,27.99,83,87,0.51,AU,1734283614
61,narasannapeta,18.4167,84.05,18.78,58,72,2.89,IN,1734283615
62,queenstown,-31.8976,26.8753,15.33,73,87,4.6,ZA,1734283616
63,west island,-12.1568,96.8225,26.99,83,40,4.12,CC,1734283618
64,hawaiian paradise park,19.5933,-154.9731,19.94,82,0,3.6,US,1734283619
65,raja,8.4596,25.678,26.16,24,44,2.15,SS,1734283620
66,noosa heads,-26.3833,153.15,23.55,96,100,9.79,AU,1734283621
67,ribeira grande,38.5167,-28.7,19.22,77,40,10.29,PT,1734283623
68,prince rupert,54.3161,-130.3201,2.83,87,11,4.63,CA,1734283624
69,kosh-agach,50.0,88.6667,-20.86,72,87,1.08,RU,1734283625
70,phan rang-thap cham,11.5667,108.9833,22.77,95,100,4.16,VN,1734283626
71,moose jaw,50.4001,-105.5344,2.14,69,100,1.54,CA,1734283544
72,vorgashor,67.5833,63.95,-19.98,98,99,1.88,RU,1734283629
73,petropavlovsk-kamchatsky,53.0452,158.6483,-12.67,67,0,2.0,RU,1734283630
74,sur,22.5667,59.5289,23.39,60,1,4.34,OM,1734283632
75,udachny,66.4167,112.4,-31.09,100,83,1.6,RU,1734283633
76,choyr,46.3611,108.3611,-12.08,79,44,2.51,MN,1734283634
77,puente alto,-33.6167,-70.5833,28.8,26,0,2.57,CL,1734283636
78,harstad,68.799,16.5293,-4.66,93,100,16.99,NO,1734283637
79,tolanaro,-25.0319,46.9987,27.04,78,20,8.23,MG,1734283639
80,port mathurin,-19.6833,63.4167,25.22,81,7,7.58,MU,1734283640
81,kenai,60.5544,-151.2583,-5.55,95,100,6.69,US,1734283641
82,kingston,17.997,-76.7936,30.65,66,20,3.09,JM,1734283607
83,st. john's,47.5649,-52.7093,-0.57,61,75,6.69,CA,1734283575
84,nar'yan-mar,67.6713,53.087,-16.67,95,100,3.14,RU,1734283646
85,bardai,11.65,7.2333,23.66,18,77,4.32,NG,1734283647
86,jamestown,42.097,-79.2353,2.23,72,40,5.14,US,1734283598
87,eskisehir,39.7767,30.5206,0.95,100,75,1.54,TR,1734283650
88,thompson,55.7435,-97.8558,-5.91,93,100,2.06,CA,1734283651
89,atafu village,-8.5421,-172.5159,27.74,77,53,5.13,TK,1734283652
90,basciftlik,40.5469,37.1692,-4.77,69,100,4.71,TR,1734283654
91,daru,-9.0763,143.2092,24.57,92,100,3.28,PG,1734283655
92,east london,-33.0153,27.9116,22.52,64,0,7.72,ZA,1734283656
93,kargopol',61.5071,38.9456,-11.08,91,100,3.46,RU,1734283657
94,tete,-16.1564,33.5867,33.05,52,40,3.6,MZ,1734283659
95,hammerfest,70.6634,23.6821,-8.75,62,35,10.8,NO,1734283660
96,puerto aysen,-45.4,-72.7,21.3,61,33,1.53,CL,1734283661
97,adelaide,-34.9333,138.6,34.71,23,0,8.75,AU,1734283663
98,selfoss,63.9331,-20.9971,-0.53,66,89,5.31,IS,1734283665
99,grande prairie,55.1667,-118.8027,-16.9,78,100,4.12,CA,1734283666
100,monze,-16.2833,27.4833,25.43,54,79,0.27,ZM,1734283667
101,tazovsky,67.4667,78.7,-8.45,94,100,7.18,RU,1734283669
102,pisco,-13.7,-76.2167,23.03,68,0,3.09,PE,1734283670
103,moranbah,-22.0016,148.0466,24.47,70,29,2.06,AU,1734283671
104,guerrero negro,27.9769,-114.0611,19.3,52,74,3.58,MX,1734283672
105,invercargill,-46.4,168.35,9.45,95,100,1.79,NZ,1734283674
106,sukuta,13.4103,-16.7082,36.01,23,0,6.17,GM,1734283675
107,bhimunipatnam,17.8833,83.4333,18.73,64,47,3.05,IN,1734283676
108,vilyuchinsk,52.9306,158.4028,-11.85,83,33,4.58,RU,1734283677
109,pointe michel,15.25,-61.3833,27.39,74,12,5.5,DM,1734283679
110,olyokminsk,60.3736,120.4264,-20.32,90,100,2.74,RU,1734283680
111,el granada,37.5027,-122.4694,10.06,94,0,0.45,US,1734283683
112,kolonia,50.9333,6.95,9.13,88,100,5.66,DE,1734283559
113,lihue,21.9789,-159.3672,22.77,94,75,4.63,US,1734283685
114,natal,-5.795,-35.2094,31.12,62,40,7.2,BR,1734283548
115,ribeira brava,32.65,-17.0667,21.11,80,100,6.76,PT,1734283688
116,utrik,11.2278,169.8474,27.54,81,67,10.57,MH,1734283689
117,macusani,-14.0833,-70.4333,9.7,62,81,4.72,PE,1734283393
118,anadyr,64.75,177.4833,-0.72,92,75,10.0,RU,1734283691
119,kodiak,57.79,-152.4072,-3.27,93,100,1.54,US,1734283692
120,lata,40.1629,-8.3327,8.7,58,100,2.21,PT,1734283694
121,charles town,39.289,-77.8597,1.75,79,100,2.24,US,1734283695
122,margaret river,-33.95,115.0667,15.06,68,82,6.59,AU,1734283408
123,jorhat,26.75,94.2167,15.04,69,0,0.74,IN,1734283698
124,tazacorte,28.629,-17.9293,27.54,23,40,9.26,ES,1734283699
125,mawlaik,23.6333,94.4167,14.2,82,0,0.29,MM,1734283700
126,barranca,-10.75,-77.7667,21.52,76,100,4.76,PE,1734283497
127,waddan,29.1614,16.139,18.74,29,65,3.72,LY,1734283703
128,marica,-22.9194,-42.8186,30.23,58,99,2.08,BR,1734283704
129,sisimiut,66.9395,-53.6735,-8.97,87,100,2.54,GL,1734283705
130,gorontalo,0.5412,123.0595,24.32,92,99,1.19,ID,1734283707
131,pikeville,37.4793,-82.5188,10.8,87,100,3.09,US,1734283708
132,bredasdorp,-34.5322,20.0403,16.62,52,100,5.69,ZA,1734283709
133,nevada,39.2502,-116.7512,-3.36,54,34,1.82,US,1734283710
134,san luis de la loma,17.2706,-100.8939,28.78,64,100,1.59,MX,1734283712
135,sao miguel do araguaia,-13.275,-50.1628,32.05,50,89,1.96,BR,1734283713
136,callao,-12.0667,-77.15,21.16,73,20,4.12,PE,1734283480
137,newman,37.3138,-121.0208,8.36,89,7,0.89,US,1734283689
138,clorinda,-25.2848,-57.7185,31.79,41,0,4.64,AR,1734283717
139,lubbock,33.6001,-101.8338,14.65,44,75,6.17,US,1734283608
140,ust-nera,64.5667,143.2,-29.84,97,65,0.73,RU,1734283721
141,nuuk,64.1835,-51.7216,-4.66,80,100,4.63,GL,1734283722
142,goz beida,13.95,20.55,23.67,12,5,3.68,TD,1734283723
143,azadshahr,34.7909,48.5707,-6.73,58,0,1.03,IR,1734283724
144,lumut,4.2323,100.6298,26.01,94,20,0.0,MY,1734283562
145,ocean shores,46.9737,-124.1563,5.57,91,20,3.6,US,1734283727
146,sumenep,-7.0167,113.8667,25.48,84,100,2.26,ID,1734283728
147,kavieng,-2.5744,150.7967,27.87,78,99,3.68,PG,1734283730
148,lindi,-10.0,39.7167,25.88,93,97,3.06,TZ,1734283731
149,tura,25.5198,90.2201,15.16,71,0,1.83,IN,1734283732
150,keflavik,64.0049,-22.5624,-0.76,100,75,3.09,IS,1734283734
151,dryden,49.7833,-92.7503,-0.84,100,100,4.63,CA,1734283735
152,hamilton,39.1834,-84.5333,8.88,93,100,4.12,US,1734283104
153,la passe,45.5549,-0.8967,9.02,77,81,0.81,FR,1734283737
154,mahibadhoo,3.7833,72.9667,28.22,75,97,2.56,MV,1734283739
155,nyurba,63.2842,118.3319,-34.96,100,29,1.81,RU,1734283740
156,idri,27.5,13.2667,16.15,38,55,2.39,LY,1734283741
157,port elizabeth,-33.918,25.5701,20.16,97,75,7.2,ZA,1734283742
158,bilibino,68.0546,166.4372,-20.75,100,91,1.36,RU,1734283744
159,faya-largeau,17.9257,19.1043,21.1,17,5,5.73,TD,1734283745
160,kalianget,-7.05,113.9333,26.17,83,100,2.41,ID,1734283746
161,arteche,12.2645,125.4048,25.66,90,98,5.15,PH,1734283748
162,qamdo,31.1667,97.2333,-5.55,15,3,2.05,CN,1734283749
163,nykarleby,63.5228,22.5307,-10.74,84,100,5.21,FI,1734283750
164,umm kaddadah,13.6017,26.6876,19.57,23,5,5.45,SD,1734283751
165,shibushi,31.4667,131.105,6.38,85,37,1.98,JP,1734283752
166,lebu,-37.6167,-73.65,17.18,67,0,5.56,CL,1734283754
